Row Labels,Count of [SESSION] Is session switch to agent?,Ratio,,,,,,
N,4010,0.753759398,,,,,,
Y,1310,0.246240602,,,,,,
Grand Total,5320,,,,,,,
For ID 1000060904 ,427,0.080263158,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,Row Labels,Count of [SESSION] Is session switch to agent?
,,,,,,,Grand Total,5320
,,,,,,,,
,,,,,,,1000060930,1
,,,,,,,1000060925,1
,,,,,,,1000060922,1
,,,,,,,1000060921,1
,,,,,,,1000060917,1
,,,,,,,1000060871,1
,,,,,,,1000060865,1
,,,,,,,1000060864,1
,,,,,,,1000060826,1
,,,,,,,1000060824,1
,,,,,,,1000060819,1
,,,,,,,1000060813,1
,,,,,,,1000060809,1
,,,,,,,1000060803,1
,,,,,,,1000060799,1
,,,,,,,1000060776,1
,,,,,,,1000060773,1
,,,,,,,1000060765,1
,,,,,,,1000060764,1
,,,,,,,1000060763,1
,,,,,,,1000060757,1
,,,,,,,1000060719,1
,,,,,,,1000060713,1
,,,,,,,1000060712,1
,,,,,,,1000060702,1
,,,,,,,1000060691,1
,,,,,,,1000060682,1
,,,,,,,1000060630,1
,,,,,,,1000060589,1
,,,,,,,1000060587,1
,,,,,,,1000060549,1
,,,,,,,1000060502,1
,,,,,,,1000060496,1
,,,,,,,1000060229,1
,,,,,,,1000060198,1
,,,,,,,1000060196,1
,,,,,,,1000060174,1
,,,,,,,1000060167,1
,,,,,,,1000060134,1
,,,,,,,1000060121,1
